,audio_filepath,duration,text
0,./dataset/en/clips/common_voice_en_19664034.wav,6.648,these data components in turn serve as the building blocks of data exchanges
1,./dataset/en/clips/common_voice_en_19664035.wav,5.327999999999999,the church is unrelated to the jewish political movement of zionism
2,./dataset/en/clips/common_voice_en_19664037.wav,5.496,the following represents architectures which have been utilized at one point or another
3,./dataset/en/clips/common_voice_en_19664038.wav,5.327999999999999,additionally the pulse output can be directed through one of three resonator banks
4,./dataset/en/clips/common_voice_en_19664040.wav,4.656000000000001,the two are robbed by a pickpocket who is losing in gambling
5,./dataset/en/clips/common_voice_en_19742944.wav,10.296,its county seat is phenix city
6,./dataset/en/clips/common_voice_en_19742945.wav,7.776,consequently the diocese accumulated millions of dollars in debt
7,./dataset/en/clips/common_voice_en_19742948.wav,7.728,the song kodachrome is named after the kodak film of the same name
8,./dataset/en/clips/common_voice_en_19742950.wav,8.04,these mappings are not based on or supported by any medical or scientific evidence
9,./dataset/en/clips/common_voice_en_19742952.wav,8.448,in its brown form it is sometimes called brown hematite or brown iron ore
10,./dataset/en/clips/common_voice_en_589230.wav,4.584,what did you think of that trip
11,./dataset/en/clips/common_voice_en_589234.wav,5.952000000000001,two men spoke in arabic while having a drink at the bar
12,./dataset/en/clips/common_voice_en_19645594.wav,5.976,initially the class was planned with the invincibles as the benchmark
13,./dataset/en/clips/common_voice_en_19645595.wav,6.768,there are also several extrajudicial administrative courts
14,./dataset/en/clips/common_voice_en_19645596.wav,8.424,it is a platform with a twin stairway facing northwest onto the plaza
15,./dataset/en/clips/common_voice_en_19645597.wav,6.696000000000001,only one referendum has been held at the national level in guyana
16,./dataset/en/clips/common_voice_en_19645598.wav,8.376,the luks family eventually moved to pottsville in southern pennsylvania near the coal fields
17,./dataset/en/clips/common_voice_en_19632902.wav,6.672000000000001,unfortunately the age and state of the remains complicates the process of examining them
18,./dataset/en/clips/common_voice_en_19632903.wav,7.608,they follow him to the castle where holtz and steinmuhl interrogate talbot and edelmann
19,./dataset/en/clips/common_voice_en_19632905.wav,6.696000000000001,it eventually reached europe before becoming infused in mainstream pop and dance music worldwide
20,./dataset/en/clips/common_voice_en_19632907.wav,5.352,this was actually an internet album similar to a modernday mixtape
21,./dataset/en/clips/common_voice_en_19632908.wav,6.072,the series was developed by michael reaves and directed by john grusd
22,./dataset/en/clips/common_voice_en_19705534.wav,9.408,the banner colour of this section is khaki
23,./dataset/en/clips/common_voice_en_19705537.wav,6.624,he was raised in ottawa ontario with his three brothers
24,./dataset/en/clips/common_voice_en_19705539.wav,9.816,sohmer launched hit series including cheers family ties the ateam and remington steele
25,./dataset/en/clips/common_voice_en_19705541.wav,8.064,periods of remission may occur during which transfusions and steroid treatments are not required
26,./dataset/en/clips/common_voice_en_19705542.wav,7.44,the european radio astronomy club has its headquarters in mannheim germany
27,./dataset/en/clips/common_voice_en_181711.wav,4.44,a curious boy doing science experiments
28,./dataset/en/clips/common_voice_en_181712.wav,5.904,two children playing on a statue
29,./dataset/en/clips/common_voice_en_181713.wav,2.904,the person is reading a book
30,./dataset/en/clips/common_voice_en_181715.wav,3.912,there are five people working at a table
31,./dataset/en/clips/common_voice_en_181716.wav,7.68,solitary man in blue shirt driving red semitruck of khera transport corp
